,Fragment,Molecule,Contrib
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.75056535,0.699938,-0.05062735
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.9188934,0.699938,-0.2189554
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.67680156,0.699938,0.023136437
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.75056535,0.699938,-0.05062735
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.6824327,0.699938,0.017505288
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.68649316,0.699938,0.013444841
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.7038341,0.699938,-0.0038961172
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.66363037,0.699938,0.036307633
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.66363037,0.699938,0.036307633
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.6808105,0.699938,0.019127488
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.6768016,0.699938,0.023136377
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.75056535,0.699938,-0.05062735
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.70589185,0.699938,-0.0059538484
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.75056535,0.699938,-0.05062735
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.6824328,0.699938,0.017505229
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.70589185,0.699938,-0.0059538484
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.6808105,0.699938,0.019127488
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.68649316,0.699938,0.013444841
BrC1=C(Br)C(Br)C(Br)(C(Br)(c2ccccc2)C(Br)(Br)Br)C(Br)=C1Br,0.9355209,0.8770846,-0.058436275
BrC1=C(Br)C(Br)C(Br)(C(Br)(c2ccccc2)C(Br)(Br)Br)C(Br)=C1Br,0.8050931,0.8770846,0.0719915
