,Unnamed: 0,SMILES,CAS,Name,Exposure (ng/day),Min Exposure (ng/day),Max Exposure (ng/day),ACE2,Pred_label
0,6,O=C1C=Cc2cc(S(=O)(=O)[O-])ccc2/C1=N\Nc1ccc(S(=O)(=O)[O-])cc1,12707-27-6,FD&C Yellow 6,0.0,0.0,0.0,0,0.7058437
1,7,c1ccc2c(c1)ccc1c3ccccc3[nH]c21,239-01-0,11H-benzo[a]carbazole,6.88e-05,2.31e-05,0.000131,0,0.9608756
2,8,c1ccc2c(c1)[nH]c1ccccc12,86-74-8,9H-carbazole,0.000199,6.67e-05,0.000378,0,0.95210665
3,9,c1ccc2[nH]nnc2c1,95-14-7,1H-Benzotriazole,0.000172,5.76e-05,0.000326,0,0.88192314
4,11,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,99-65-0,"1,3-Dinitrobenzene",0.000134,4.49e-05,0.000254,0,0.8998959
5,12,O=P([O-])(Oc1ccccc1)Oc1ccccc1,838-85-7,Diphenyl phosphate,0.00758,0.00254,0.0144,0,0.96387434
6,13,[O-]CCCCCc1ccc2c(c1)OCO2,51-03-6,Piperonyl butoxide,0.00681,0.00229,0.0129,0,0.9539382
7,23,C=C(Br)COc1c(Br)cc(Br)cc1Br,99717-56-3,"2-Bromoallyl 2,4,6-tribromophenyl ether",1.1e-05,3.7e-06,2.1e-05,0,0.9107731
8,24,BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,3194-55-6,Hexabromocyclododecane,0.00201,0.000673,0.00381,0,0.699938
9,25,BrC1=C(Br)C(Br)C(Br)(C(Br)(c2ccccc2)C(Br)(Br)Br)C(Br)=C1Br,84852-53-9,Decabromodiphenyl ethane,0.00363,0.00122,0.00689,0,0.8770845
10,26,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,87-82-1,Hexabromobenzene,0.000145,4.85e-05,0.000274,0,0.7924351
11,27,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,1163-19-5,BDE 209,0.0194,0.00652,0.0369,0,0.69374377
12,28,Brc1cc(Br)c(Oc2nc(Oc3c(Br)cc(Br)cc3Br)nc(Oc3c(Br)cc(Br)cc3Br)n2)c(Br)c1,25713-60-4,"2,4,6-Tris(2,4,6-tribromophenoxy)-1,3,5-triazine",0.00224,0.000751,0.00425,0,0.9270145
13,29,C=CCOc1c(Br)cc(Br)cc1Br,3278-89-5,"Allyl 2,4,6-tribromophenyl ether",1.54e-05,5.18e-06,2.93e-05,0,0.9100478
14,30,Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,37853-59-1,"1,2-Bis(2,4,6-tribromophenoxy)ethane",0.000133,4.45e-05,0.000252,0,0.9096711
15,31,Brc1cc(Br)c2[nH]c3c(Br)cc(Br)cc3c2c1,55119-09-0,"1,3,6,8-Tetrabromo-9H-carbazole",2.17e-06,7.29e-07,4.13e-06,0,0.8784028
16,32,Brc1cc2c(oc3c(Br)c(Br)c(Br)c(Br)c32)c(Br)c1Br,107555-95-3,"1,2,3,4,6,7,8-HpBDF",4.26e-05,1.43e-05,8.08e-05,0,0.6176957
17,33,Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,182346-21-0,BDE 85,0.00147,0.000494,0.00279,0,0.94296414
18,34,Brc1ccc2[nH]c3c(Br)cc(Br)cc3c2c1,55119-10-3,"1,3,6-Tribromo-9H-carbazole",0.000131,4.39e-05,0.000249,0,0.8796485
19,35,Brc1ccc2[nH]c3ccc(Br)cc3c2c1,6825-20-3,"3,6-Dibromo-9H-carbazole",3.85e-06,1.29e-06,7.31e-06,0,0.81184787
20,36,Brc1ccc2[nH]c3ccccc3c2c1,1592-95-6,3-Bromo-9H-carbazole,2.82e-07,9.46e-08,5.36e-07,0,0.9306124
21,37,Brc1ccc2c(c1)[nH]c1cc(Br)ccc12,136630-39-2,"2,7-Dibromo-9H-carbazole",2.84e-05,9.53e-06,5.39e-05,0,0.8422138
22,38,Brc1ccc2c(c1)[nH]c1ccccc12,3652-90-2,2-Bromo-9H-carbazole,1.5e-06,5.05e-07,2.86e-06,0,0.92424965
23,39,BrCC(Br)C1CCC(Br)C(Br)C1,3322-93-8,"1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane ",2.82e-05,9.48e-06,5.36e-05,0,0.8093359
24,40,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,141-62-8,Decamethyltetrasiloxane,0.0609,0.0204,0.116,0,0.928916
