canonical_smiles,label_ACE2,DataType
CCNC(=O)C1OC(n2cnc3c(=N)[nH]cnc32)C(O)C1O,1.0,L1000
C[C@H]1CN([C@H](C)CO)C(=O)CCCn2nncc2CO[C@@H]1CN(C)S(=O)(=O)c1ccc(Cl)cc1,1.0,L1000
O=C(CC(=O)C(F)(F)F)c1cccs1,1.0,L1000
COc1cccc(CN(C)C[C@@H]2OCc3cnnn3CCCC(=O)N([C@H](C)CO)C[C@H]2C)c1,1.0,L1000
Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(O)=NO)cc1,1.0,L1000
O=C(NNC(=O)c1csc(-c2cccnc2)n1)c1ccccc1,1.0,L1000
c1ccc2c(-c3cnn4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1,1.0,L1000
Cc1noc(C)c1S(=O)(=O)Nc1ccc2c(c1)C(=O)N([C@H](C)CO)C[C@H](C)[C@@H](CN(C)Cc1ccc(C(F)(F)F)cc1)OCCCC[C@H](C)O2,1.0,L1000
CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.0,L1000
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1.0,L1000
CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1,1.0,L1000
CCCCCCN(CCCCCC)C(=O)Cc1c(-c2ccc(F)cc2)[nH]c2ccccc12,1.0,L1000
N#C[C@H]1[C@@H](c2ccc(C3=CCCCC3)cc2)[C@@H](CO)N1C(=O)c1cccc(F)c1,1.0,L1000
Cc1ncc([N+](=O)[O-])n1CC(O)CCl,1.0,L1000
COc1cccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)c1,1.0,L1000
CC(N)C(=O)NC(C(=O)NC(C)C(=O)Nc1cccc2ccccc12)C(C)C,1.0,L1000
COc1cccc(S(=O)(=O)N(C)C[C@H]2OCc3cn(nn3)CCCC(=O)N([C@H](C)CO)C[C@@H]2C)c1,1.0,L1000
COCC(=O)N1[C@H](C#N)[C@H](c2ccc(C3=CCCCC3)cc2)[C@H]1CO,1.0,L1000
COC(=O)Cn1nc(-c2cccc(OC)c2)c2ccccc21,1.0,L1000
CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CNC1C2C,1.0,L1000
Cn1cnc(S(=O)(=O)N[C@H]2C=C[C@H](CC(=O)N3CCN(c4ccccc4)CC3)O[C@@H]2CO)c1,1.0,L1000
COc1cccc(CN2CC3(CN(Cc4ccccn4)C3)c3c([nH]c4cc(OC)ccc34)[C@@H]2CO)c1,1.0,L1000
COc1ccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)cc1,1.0,L1000
Cn1nnnc1Sc1ncnc2scc(-c3cc4ccccc4o3)c12,1.0,L1000
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(=O)[nH]1,1.0,L1000
COc1cc(Br)c(OC)c2c1C(CN)C2,1.0,L1000
C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O[C@@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,1.0,L1000
O=[N+]([O-])c1ccc2[nH]c(CN=c3[nH]c(N4CCOCC4)nc4c3ncn4-c3ccsc3)nc2c1,1.0,L1000
CN(CCCC(O)c1cccnc1)[N+][O-],1.0,Tox
O=C(N[C@@H](COc1ccc2[nH]c(=O)[nH]c2c1)c1ccccc1)c1cccn(Cc2ccc(F)c(F)c2)c1=O,1.0,L1000
